visual,drone,mission,
70,72,mis1,total
14,15,mis1,no_boats
18,15,mis1,boat_anglers
52,57,mis1,shore_anglers
,,mis1,ice_anglers
49,55,mis2,total
24,20,mis2,no_boats
31,33,mis2,boat_anglers
18,22,mis2,shore_anglers
,,mis2,ice_anglers
205,170,mis3,total
99,98,mis3,no_boats
186,146,mis3,boat_anglers
19,24,mis3,shore_anglers
,,mis3,ice_anglers
59,51,mis4,total
,,mis4,no_boats
,,mis4,boat_anglers
,,mis4,shore_anglers
59,51,mis4,ice_anglers
41,42,mis5,total
,,mis5,no_boats
,,mis5,boat_anglers
,,mis5,shore_anglers
41,42,mis5,ice_anglers
