it	post	likelihood	prior	r0	a	p	
0	-4196.50253794571	-4192.27601431951	-4.22652362619872	1	1	0.778753527129821	
100	-1679.04474833725	-1674.93873572797	-4.1060126092735	0.884488259404898	0.0120305434567854	0.58921018194412	
200	-1388.08756930231	-1384.10840529516	-3.9791640071461	0.757640306614339	0.00385572409722956	0.531894166866212	
300	-1184.18812134228	-1180.30376522535	-3.88435611692693	0.662832314213737	0.00594162393826986	0.485597346887538	
400	-1019.19665955399	-1015.39615697297	-3.80050258101911	0.57897598369047	0.0243767508771272	0.443389677382653	
500	-902.410783861646	-898.668009513497	-3.74277434814908	0.521246351758018	0.0295641415985302	0.410695647165691	
600	-397.15192989499	-393.690245068556	-3.46168482643364	0.240158631019293	0.0226681081112474	0.215594554326778	
700	-284.517547876386	-281.215504001182	-3.30204387520338	0.0782959360815577	0.66698019807227	0.107450243813683	
800	-284.423872306237	-281.122323112484	-3.30154919375331	0.0779596533998839	0.642792992293835	0.105499652994879	
900	-286.049920280536	-282.750652255109	-3.29926802542677	0.0762815476953976	0.540897685824894	0.0974159773317635	
1000	-284.546224849988	-281.244970374799	-3.30125447518965	0.0778934050444506	0.606208536145278	0.10318055934982	
1100	-285.031714140712	-281.725580342617	-3.30613379809544	0.0834244237374507	0.486980114434846	0.102825380838444	
1200	-284.769189905943	-281.455708931229	-3.31348097471407	0.0906584937591099	0.509677301091142	0.112615633062979	
1300	-286.1224853503	-282.801065125484	-3.32142022481597	0.0989226882532232	0.441341220377945	0.117682612372099	
1400	-286.006343987585	-282.714097452712	-3.29224653487259	0.067897339658811	0.751740515744314	0.0988952091215752	
1500	-286.958522425646	-283.669227211116	-3.28929521452958	0.0642860952299081	0.834924320038408	0.0989057700389525	
1600	-286.458821940676	-283.1362678657	-3.32255407497577	0.100451917685568	0.34015616751276	0.113091623485193	
1700	-284.398147414864	-281.090238413467	-3.30790900139736	0.0850028777495019	0.525832187896595	0.106971118381606	
1800	-286.869991944475	-283.580157325057	-3.28983461941772	0.0653729709889732	0.766553615871817	0.096296994883695	
1900	-284.493952535539	-281.186323383372	-3.30762915216705	0.0842912503890686	0.602374564413913	0.110878837369663	
2000	-284.767121937935	-281.466676078093	-3.30044585984219	0.0771363771427415	0.597638101316989	0.101726210261908	
2100	-284.784252886411	-281.484046691367	-3.30020619504447	0.0768741292227053	0.601404958916829	0.101622724944593	
2200	-284.548556490612	-281.243428610767	-3.3051278798457	0.0821680691745125	0.535944861429744	0.104204582617738	
2300	-284.346944514898	-281.042776040503	-3.30416847439565	0.0809712968859815	0.578541495651008	0.105312467140444	
2400	-286.058889394313	-282.745492496054	-3.31339689825895	0.0911838774662458	0.37132050683722	0.104961547628355	
2500	-289.018024004988	-285.698990183207	-3.31903382178091	0.0972314890939735	0.236095950077289	0.103918631574565	
2600	-284.29239978681	-280.987244064699	-3.30515572211085	0.0819621649757021	0.577915380732158	0.106486048640503	
2700	-288.609885020528	-285.280347036703	-3.32953798382485	0.107732886308803	0.23726412174292	0.114533800656524	
2800	-285.552847669503	-282.247055017364	-3.30579265213929	0.0831939102616154	0.463705872069114	0.101233851239822	
2900	-286.861709803576	-283.56510326778	-3.29660653579551	0.0714974332228296	0.846814781869762	0.110085353272352	
3000	-284.908512535071	-281.6099128044	-3.2985997306705	0.0750952262524508	0.629424851643854	0.101048172262912	
3100	-285.150755254485	-281.834589600672	-3.31616565381353	0.0934520337637507	0.487851176294499	0.114465143116336	
3200	-285.151640204368	-281.83497849377	-3.3166617105976	0.0940618941653513	0.463937546126545	0.113653475914186	
3300	-284.749809463744	-281.445315378784	-3.3044940849601	0.0815811460278921	0.52712668941822	0.102985375325969	
3400	-284.581375221774	-281.277340093791	-3.30403512798284	0.0803453842084848	0.658197170402856	0.109516694165756	
3500	-284.373238173353	-281.070728387225	-3.3025097861273	0.0789690817892544	0.635150082944893	0.106304571985964	
3600	-285.461114455434	-282.15691204258	-3.3042024128537	0.0801441425643854	0.711989338486456	0.112803381087752	
3700	-285.604210541677	-282.28884887162	-3.31536167005735	0.0923333305306725	0.548582414584235	0.117096757016944	
3800	-285.459620891324	-282.165297846343	-3.29432304498111	0.0700919416267417	0.735863731359133	0.100920175897805	
3900	-288.342240861923	-285.031414849283	-3.31082601264049	0.0867352808732532	0.716534098074773	0.121753682211478	
4000	-287.337709734844	-284.047870081574	-3.28983965326952	0.0643496163934461	0.890663873450832	0.1025425926096	
4100	-284.746743470655	-281.433135437617	-3.31360803303872	0.090861836075782	0.494483723537998	0.111899088784879	
4200	-284.435143562415	-281.126002193899	-3.30914136851593	0.0860174595471464	0.565735409897754	0.110652126859971	
4300	-284.434074156823	-281.132402443005	-3.30167171381816	0.0780343836639069	0.650185197545217	0.106055521903178	
4400	-285.708345255359	-282.398445953643	-3.30989930171647	0.0875205514300607	0.413551469030792	0.103307620533722	
4500	-285.411395346031	-282.099171231484	-3.31222411454758	0.088933812659233	0.594420001283289	0.11605260179177	
4600	-288.043108714704	-284.731939761984	-3.31116895272072	0.0891309100482605	0.320754259126262	0.10000018619779	
4700	-285.757070004398	-282.463651977757	-3.2934180266404	0.0693017829116426	0.720085762953387	0.0988957336428497	
4800	-287.925020408004	-284.595507866191	-3.32951254181243	0.107416212391107	0.338438538764605	0.120318847751026	
4900	-286.507673385752	-283.187086557837	-3.32058682791531	0.0978407766763113	0.494454252743164	0.119924582292052	
5000	-284.336765010947	-281.030145173516	-3.30661983743132	0.0833316557668141	0.594063206366265	0.109168723484349	
