it	post	likelihood	prior	r0	a	p	
0	-2010.58483014487	-2006.35830651867	-4.22652362619872	1	1	0.718375246064595	
100	-744.790441183938	-740.606934593534	-4.18350659040343	0.961982112908736	0.0130483406828718	0.619236075474028	
200	-710.780664927621	-706.625995531402	-4.1546693962192	0.93314488963224	0.0132694253465162	0.608077216357188	
300	-600.197545734673	-596.135956836528	-4.06158889814519	0.840064940713346	0.00813920297659948	0.569161370061957	
400	-543.333697004022	-539.32349843375	-4.01019857027197	0.788674473520368	0.00970106057357056	0.546547647100944	
500	-496.64080390569	-492.674542449697	-3.96626145599373	0.744736983180046	0.0130124168936162	0.526457772671371	
600	-463.269927489563	-459.330713970524	-3.93921351903831	0.717689852118492	0.00285380785353467	0.512407588363134	
700	-455.132419782562	-451.202991486259	-3.92942829630341	0.707904330370948	0.00824298174120502	0.508146776139681	
800	-424.4131886222	-420.520171012022	-3.89301761017796	0.671490269666537	0.0272555047878997	0.491736994137498	
900	-357.684100003456	-353.868675105733	-3.81542489772295	0.593881253981962	0.0632732838857922	0.453822756245864	
1000	-282.277226469205	-278.526593767955	-3.75063270125047	0.52910735849291	0.0185286741936576	0.412526733345825	
1100	-153.962288363359	-150.394688375802	-3.56759998755683	0.346038055652752	0.0875279445201155	0.298812543178981	
1200	-110.294909770811	-106.863156759074	-3.43175301173762	0.210206474233418	0.0676924005849292	0.192966986953614	
1300	-110.645321463019	-107.20778775777	-3.43753370524971	0.215917419316247	0.136132093751803	0.20133465019175	
1400	-110.022585032897	-106.580088299516	-3.44249673338106	0.220933038769289	0.0895191745366903	0.202920548337451	
1500	-110.346936525326	-106.915337914496	-3.43159861082929	0.210028255656361	0.0966736512258647	0.194323429105194	
1600	-110.058894894426	-106.623899848628	-3.43499504579834	0.213444851227104	0.0728949552634732	0.195898528241753	
1700	-110.82939834744	-107.395251090263	-3.43414725717649	0.212512077791616	0.149367457069457	0.199224516612662	
1800	-109.848118771777	-106.409082674588	-3.43903609718897	0.217490680143237	0.0660164328292016	0.198851503837914	
1900	-110.139477717919	-106.70403736772	-3.43544035019851	0.213914642333984	0.0204042437020684	0.193597712819785	
2000	-111.329993068334	-107.896707042749	-3.43328602558475	0.211607793197036	0.175844356743618	0.199935846199009	
2100	-110.513952715053	-107.083538217387	-3.43041449766588	0.208825231483206	0.114577470696532	0.194267206126167	
2200	-109.813315263372	-106.374729289318	-3.4385859740536	0.217054951926693	0.0384601824916895	0.197063113562268	
2300	-109.680017697267	-106.238125576488	-3.4418921207786	0.220368209537119	0.00755040086805878	0.198159136315004	
2400	-110.063350069339	-106.628222108951	-3.43512796038839	0.213596082581207	0.040624151588417	0.194360031059972	
2500	-110.21332235316	-106.765269655247	-3.44805269791263	0.226489033270627	0.0894856896717106	0.207451061051462	
2600	-109.438727303462	-105.991180910943	-3.44754639251838	0.226022673901171	0.00429926710203338	0.202521825815852	
2700	-110.322295654301	-106.886491927985	-3.43580372631633	0.214214677559212	0.114387550367974	0.198734792930456	
2800	-111.066893667675	-107.620844466244	-3.4460492014309	0.224434307590127	0.135105619463138	0.208324183744147	
2900	-109.846243958166	-106.402269997261	-3.44397396090532	0.222423682594672	0.0730097417253995	0.203245044092828	
3000	-110.325525187199	-106.890708468891	-3.43481671830782	0.213229206660763	0.113035789318382	0.197845253908571	
3100	-114.528646393016	-111.108307512481	-3.42033888053446	0.198353019356728	0.304050975665451	0.195865777556615	
3200	-111.230642678598	-107.772802332592	-3.45784034600641	0.236271376432851	0.0952295908238748	0.215696591619765	
3300	-109.708586581772	-106.25745156118	-3.45113502059245	0.229600868523121	0.045882176514714	0.207584203401153	
3400	-110.88339375846	-107.427427381896	-3.45596637656372	0.234401826811955	0.0904693904565655	0.213917208439246	
3500	-109.622772858966	-106.179949044906	-3.4428238140602	0.221292696194723	0.0387083111563689	0.200509234438767	
3600	-109.860552811821	-106.41180530746	-3.44874750436119	0.227202805448324	0.0649195103906087	0.20668365741125	
3700	-109.785085132597	-106.345895976086	-3.43918915651048	0.217660684250296	0.0311321745626637	0.19717809669032	
3800	-110.215036284514	-106.778459135503	-3.43657714901116	0.214997644638643	0.105714874831029	0.19891539543968	
3900	-111.186229945816	-107.733571590968	-3.45265835484828	0.231067948695273	0.115568122151308	0.212643865965176	
4000	-112.175853007918	-108.748496697371	-3.42735631054671	0.205594970136881	0.218043211824261	0.197202347464194	
4100	-109.513307423549	-106.061272700861	-3.45203472268808	0.230508384276182	0.0232903979485847	0.207099289786849	
4200	-110.285931174186	-106.841273371805	-3.44465780238029	0.223081251261756	0.102883351244963	0.205409633476055	
4300	-109.899462169693	-106.450217676338	-3.44924449335545	0.227698870906607	0.0663268424104907	0.207161217059068	
4400	-110.459551449732	-107.029618382661	-3.42993306707126	0.208383356714622	0.07222763726022	0.191696731387605	
4500	-109.708664779782	-106.249882589912	-3.45878218986994	0.237257470414043	0.0147868670057495	0.212006953905016	
4600	-109.385020805306	-105.934326103313	-3.45069470199321	0.229171075364575	0.000293227378280081	0.204822785223139	
4700	-110.246394365393	-106.813689535836	-3.43270482955726	0.211167981009931	0.051424407842568	0.19292535364408	
