it	post	likelihood	prior	r0	a	p	
0	-1236.58601203217	-1232.37969463503	-4.20631739714204	0.981727415053174	0.783116324711591	0.699045363953923	
100	-775.238211722527	-771.045146646562	-4.19306507596474	0.971539026135579	0.0220164958154782	0.623813637810557	
200	-729.54892507199	-725.409495265273	-4.13942980671716	0.917905373759567	0.0127024318790062	0.601976375930365	
300	-679.725201719975	-675.646927427733	-4.07827429224237	0.856750632151961	0.00260352431796507	0.575731283711647	
400	-604.214860709338	-600.252627612359	-3.96223309697885	0.740701246298849	0.0405573206255214	0.527333536050654	
500	-537.537355217232	-533.671584934365	-3.86577028286713	0.644242087332531	0.0302302361233159	0.477876809180183	
600	-447.638503617976	-443.934875261115	-3.7036283568612	0.482104098647832	0.0112429057713597	0.383476260783561	
700	-404.410971381052	-400.864673264624	-3.54629811642784	0.32477085690014	0.0269567393464966	0.279131260827197	
800	-401.477642119978	-397.991488745252	-3.48615337472661	0.264117372548207	0.320117472088896	0.252925066862472	
900	-401.549817876834	-398.040577919562	-3.50923995727236	0.287483528293669	0.21577895169612	0.264187877883533	
1000	-401.43463511921	-397.949816191917	-3.48481892729271	0.262932035624981	0.269542378489859	0.248365700648682	
1100	-401.971715122886	-398.500257931452	-3.47145719143426	0.249366330048069	0.336818998120725	0.24186736176687	
1200	-401.632348146305	-398.120420472548	-3.51192767375739	0.290229749772698	0.186707142856903	0.264270376483508	
1300	-402.19000968783	-398.68946558899	-3.50054409883969	0.27848288256675	0.32789939744398	0.265221088546546	
1400	-401.45692387934	-397.973837100294	-3.483086779047	0.261083511346951	0.309722941135987	0.249684076660634	
1500	-401.364062351764	-397.875811415984	-3.48825093577933	0.266397145986557	0.256968322582543	0.250301392963694	
1600	-401.695532111721	-398.186739469237	-3.50879264248311	0.287143102530391	0.158690739492886	0.259925969380969	
1700	-401.334268872972	-397.843309115663	-3.49095975730918	0.269020281741396	0.288391875429079	0.254648633810939	
1800	-401.831741361186	-398.355541080428	-3.47620028075826	0.254028127118946	0.36014648147393	0.247441299805798	
1900	-401.335022140261	-397.837754521647	-3.49726761861419	0.275499850241469	0.220971570117399	0.255093053672175	
2000	-401.64134687436	-398.162851357727	-3.47849551663257	0.256538013750689	0.294576537818648	0.24487221223732	
2100	-401.797747889376	-398.30887524146	-3.48887264791666	0.266748591605575	0.346534302015788	0.257021149329181	
2200	-403.086598739204	-399.554263131727	-3.53233560747756	0.310662721255796	0.172777326661162	0.278956478612417	
2300	-401.847127971826	-398.349882629171	-3.49724534265482	0.275585075085984	0.165312655363232	0.251355194154329	
2400	-404.104709990723	-400.61271939949	-3.49199059123251	0.270431613251568	0.0840854116017002	0.242060953818758	
2500	-403.030951806527	-399.572456955515	-3.4584948510116	0.23619910859503	0.39296722963918	0.234623314704393	
2600	-401.682248080563	-398.172606834051	-3.50964124651206	0.287833397556099	0.23842095430009	0.266090442383374	
2700	-401.363723172972	-397.874098667003	-3.48962450596927	0.267659912798556	0.296973726782016	0.254157487056659	
2800	-404.421440922142	-400.973938654678	-3.44750226746426	0.225103660896423	0.418325320561416	0.226739011514066	
2900	-402.442019289998	-398.944353506167	-3.49766578383086	0.275520549034702	0.352592852292583	0.264672003696679	
3000	-402.285450162899	-398.800038129366	-3.48541203353342	0.263144210036847	0.385797174135223	0.256957406340357	
3100	-403.301388170255	-399.845219706766	-3.4561684634888	0.233757170196626	0.421347147482448	0.234519079530218	
3200	-402.357092703689	-398.835860382648	-3.52123232104102	0.299652188513431	0.106307411659509	0.265922273560971	
3300	-401.297113907311	-397.799102859097	-3.49801104821404	0.276177277276296	0.249056113767438	0.257608096640504	
3400	-401.674249426916	-398.181076859631	-3.49317256728463	0.271462680650878	0.193007997260429	0.249966050784021	
3500	-401.653766321535	-398.154610535161	-3.49915578637386	0.277187171131376	0.298325005243532	0.261978045345489	
3600	-403.689538590067	-400.216107902919	-3.47343068714779	0.251726273437965	0.190151261421852	0.233949801222642	
3700	-401.367912101764	-397.865282001204	-3.50263010056029	0.280879525365312	0.213048818940297	0.258800367184274	
3800	-401.638173916032	-398.14956054677	-3.48861336926204	0.266531210504476	0.334225241071544	0.255936158997341	
3900	-402.381442548464	-398.868011580408	-3.5134309680555	0.291857755025853	0.0995859738439322	0.259548174271412	
4000	-401.430437284204	-397.924635504546	-3.50580177965798	0.28406244926155	0.207703730207868	0.260930729498635	
4100	-401.804060511225	-398.312667552539	-3.4913929586859	0.269292816268285	0.339563313359395	0.258597718384936	
4200	-401.364703556768	-397.862666071613	-3.50203748515512	0.280221770368521	0.24169757461641	0.260306573630921	
4300	-403.381821180753	-399.861352226714	-3.52046895403892	0.298550369609152	0.281054525333457	0.277680705195725	
4400	-402.884712375595	-399.36224020567	-3.52247216992522	0.300926073836167	0.0670371394604441	0.264234000548937	
4500	-401.84752259815	-398.33503349876	-3.51248909938944	0.290687423571949	0.235817564558238	0.268144316017916	
4600	-401.565271204425	-398.063081510476	-3.50218969394831	0.280508687719707	0.17741478511598	0.256039099863189	
4700	-401.639933122428	-398.130700577929	-3.50923254449932	0.287569560687994	0.166947664017789	0.260825628506987	
4800	-402.525966077167	-399.053515134198	-3.47245094296874	0.250601071007555	0.255439136573114	0.237308564674628	
4900	-402.150215679291	-398.670613176191	-3.47960250309975	0.25781600550749	0.229290816886351	0.241454928204284	
5000	-402.361415260321	-398.883134750159	-3.4782805101622	0.256505791479727	0.224094838742167	0.240044300313773	
5100	-402.540931235725	-399.059185808391	-3.48174542733388	0.260035198451957	0.193185239192098	0.240851089189613	
5200	-402.942622598673	-399.446359634175	-3.49626296449834	0.274019789490854	0.379354401258752	0.265479938838086	
5300	-401.538358884127	-398.029966549399	-3.50839233472805	0.286617927579215	0.223955776938238	0.264092693150859	
5400	-401.913158106989	-398.406667843673	-3.50649026331663	0.284869610928005	0.139302684762516	0.256845605768299	
