it	post	likelihood	prior	r0	a	p	
0	-859.847249231581	-855.632334890231	-4.21491434134933	0.989185059880838	0.917131971940398	0.792531989918878	
100	-285.601315363526	-281.416122849366	-4.18519251415969	0.963668868653476	0.00196506984066191	0.618922149793209	
200	-277.836424851701	-273.668159892166	-4.16826495953423	0.946741331135854	0.000663272687234262	0.612135888611442	
300	-258.502975060574	-254.379587911138	-4.12338714943512	0.901863522306084	0.000431351480073894	0.594277499329217	
400	-241.252098472372	-237.174880439538	-4.07721803283413	0.855694065075367	0.0082651078701016	0.576730424351248	
500	-214.979225664277	-210.979630323602	-3.99959534067582	0.778066734978929	0.0315578775480393	0.547172999005209	
600	-178.408006821679	-174.480973059787	-3.92703376189118	0.705510043390095	0.00429656519554589	0.506999353689379	
700	-163.595336035131	-159.718423113273	-3.87691292185834	0.655385601837188	0.0271802223520357	0.486068039553584	
800	-128.082276924879	-124.288335226591	-3.79394169828793	0.572417814331129	0.00717994549777395	0.437167221003017	
900	-92.6642733496544	-88.9762857017517	-3.68798764790266	0.466462564794346	0.0170699127018455	0.375649710200318	
1000	-67.4688059687463	-63.8667522130463	-3.6020537557	0.380526073304936	0.0284822623478245	0.320768719383687	
1100	-47.1196742009138	-43.5940807116111	-3.52559348930264	0.304069382343441	0.00980571757536342	0.263451685900914	
1200	-34.8459583016582	-31.4633443779175	-3.38261392374065	0.160932432645931	0.177687870152295	0.163638598907918	
1300	-35.3690496689789	-31.9612874560196	-3.40776221295927	0.186095453202724	0.169194301217794	0.185804654651253	
1400	-34.6577240046919	-31.264977510143	-3.39274649454892	0.171094465330242	0.160251689516008	0.171367701761931	
1500	-34.8768483558402	-31.495307046089	-3.38154130975115	0.160016740104183	0.0137364350957789	0.148946972725405	
1600	-34.0607817964404	-30.6686965725094	-3.39208522393107	0.170538109960034	0.0685387077741317	0.162583320300511	
1700	-35.1949088402668	-31.8218586523909	-3.37305018787589	0.151425366159528	0.142264203261585	0.151757142488077	
1800	-33.4868960136246	-30.075298080399	-3.4115979332256	0.190073308954015	0.0141285021323703	0.174377678854735	
1900	-34.1544850371862	-30.7545261224163	-3.3999589147699	0.178382405051961	0.102843103045598	0.172526135287023	
2000	-36.5624383109188	-33.2054966541775	-3.35694165674122	0.135017799781635	0.282924286997876	0.147863046979527	
2100	-34.2353085725622	-30.8322302251359	-3.40307834742623	0.181497821304946	0.106677010236309	0.175618716335697	
2200	-35.901691588771	-32.4479837999706	-3.45370778880046	0.232182790637015	0.0165648104622954	0.208952294851699	
2300	-34.1822830612905	-30.77566465006	-3.4066184112305	0.185049513326957	0.0951543008210131	0.177629140301504	
2400	-33.6956949120896	-30.2753656499692	-3.42032926212046	0.198803402865305	0.0211331797763711	0.182273632753008	
2500	-33.595178333181	-30.1917228908298	-3.40345544235122	0.181929369810968	0.0221194101963199	0.168274223969954	
2600	-35.5897051732267	-32.1948376454712	-3.39486752775548	0.173095812993123	0.222750337212346	0.17925788051324	
2700	-38.777998550393	-35.4403664791952	-3.33763207119778	0.115315748807042	0.398169861244968	0.136839081720409	
2800	-33.5208941657114	-30.1168566699189	-3.4040374957925	0.182513749478384	0.0049013343639665	0.167253565440924	
2900	-37.0790879386798	-33.6195433978796	-3.45954454080015	0.238014811724424	0.0349367342656473	0.215604334307566	
3000	-35.0128081713374	-31.6254710597214	-3.38733711161598	0.165616693552583	0.198389447643421	0.169910553663359	
3100	-33.8511443454649	-30.4539203344198	-3.39722401104517	0.175686725368722	0.0522675381740559	0.165616920976527	
3200	-33.649681617419	-30.2451739320845	-3.40450768533458	0.182977568004279	0.0360309077892448	0.170397063669469	
3300	-34.5862200608438	-31.2010528415661	-3.38516721927769	0.163643522262572	0.00376341342926062	0.151254632093264	
3400	-36.1352293323011	-32.7631351148883	-3.37209421741277	0.150570542300119	0.00312774470075991	0.140014756390875	
3500	-33.4862461858819	-30.079186830175	-3.40705935570692	0.185535203414037	0.0102576231583957	0.170247542345644	
3600	-33.8385169828357	-30.4429043768834	-3.39561260595237	0.174088618922978	0.00849506531376426	0.160490117713576	
3700	-34.8612188757693	-31.4147576353992	-3.44646124037014	0.224937609611078	0.000955023104324604	0.201532023918893	
3800	-34.3263002432446	-30.9366666381835	-3.38963360506109	0.168042111461981	0.116505279182457	0.164608107228616	
3900	-33.6869508755475	-30.2795638402882	-3.40738703525932	0.185854216199367	0.0428785756230358	0.173453369140032	
4000	-33.7182619563294	-30.3183649218106	-3.39989703451877	0.178367560263722	0.0341995799215505	0.166322718062556	
4100	-34.8833083597541	-31.4596214020647	-3.4236869576894	0.202124777585267	0.0878110533114528	0.191587949948033	
4200	-38.5064435921774	-35.1221163456616	-3.38432724651578	0.162034404836594	0.392228372371756	0.185971188297976	
4300	-36.7288833940688	-33.3504295994111	-3.37845379465776	0.156371321836486	0.334319195547142	0.174173925636669	
4400	-34.7651488622749	-31.3397619776933	-3.42538688458169	0.203834783360361	0.0754652537405496	0.191790231304374	
4500	-33.9082058628397	-30.5131035052608	-3.39510235757895	0.173565895529463	0.0506672493182117	0.163652109229796	
4600	-34.7889145844832	-31.3991539651549	-3.38976061932825	0.168083095438777	0.175440981960856	0.170037587060207	
4700	-35.3860572272227	-31.9792509134109	-3.40680631381178	0.185132453115656	0.173340415023267	0.185356615396214	
4800	-33.8236327041257	-30.4235051183176	-3.40012758580812	0.178587004207074	0.0582329843426118	0.168639740626426	
4900	-36.6120157393984	-33.2487373601342	-3.36327837926416	0.141153338700532	0.346818213164807	0.15984671361846	
