it	post	likelihood	prior	r0	a	p	
0	-4133.58540491986	-4129.35888129366	-4.22652362619872	1	1	0.764198048658739	
100	-1884.86523108958	-1880.77938114331	-4.08584994626306	0.86432521559298	0.0148625123081731	0.581034513616856	
200	-1632.52340520216	-1628.55797820823	-3.96542699393099	0.743893513306975	0.0443946512416007	0.531644336648768	
300	-1304.58605086315	-1300.7607855795	-3.82526528365176	0.603732880726456	0.0418968413723635	0.45933331668756	
400	-1035.29718089883	-1031.60043381158	-3.69674708725749	0.475181907881051	0.0911626872373743	0.390290101430114	
500	-578.562424898441	-575.056104160099	-3.50632073834204	0.284786082925274	0.0469664093805478	0.25230066705117	
600	-72.8168969532257	-69.5765704227297	-3.24032653049607	0.0183182555716479	0.311335422238335	0.0210159468161967	
700	-68.1311856910714	-64.8913018435817	-3.23988384748969	0.0114169427938753	1.17841236391105	0.0223176989579471	
800	-69.3189830816301	-66.0758468480656	-3.24313623356448	0.00939743873663308	1.56302070550155	0.0244521785536155	
900	-67.7923037545368	-64.5522513511203	-3.24005240341652	0.00905796875245931	1.37628546932247	0.0204875455746006	
1000	-68.7741327448429	-65.5324266303114	-3.24170611453153	0.010542502542957	1.38852337321732	0.0240042609031352	
1100	-68.0029506464925	-64.7622459793959	-3.24070466709663	0.00956961273215774	1.38646515756846	0.0217903379811299	
1200	-70.6158658796028	-67.3730853432251	-3.24278053637776	0.0128832735586918	1.2941125623649	0.0272850596263512	
1300	-69.2578971988956	-66.0161463979285	-3.24175080096706	0.0118320096191025	1.29577506915666	0.0251273177404991	
1400	-68.4617914620295	-65.2248325887526	-3.23695887327691	0.0099012255854911	1.05204766932875	0.0177718731948733	
1500	-67.9849994134778	-64.7460405839181	-3.2389588295597	0.00803394300863211	1.37122283764184	0.0181331786088854	
1600	-68.0679115778415	-64.8290952954469	-3.23881628239461	0.0116456474643194	1.06273314915597	0.0210131584881341	
1700	-68.8840664053046	-65.6433975425941	-3.24066886271053	0.013106999294833	1.09893013581168	0.0241989465314386	
