it	post	likelihood	prior	r0	a	p	
0	-5049.38966663117	-5045.16314300497	-4.22652362619872	1	1	0.771455053594464	
100	-2229.21797236664	-2225.02608764327	-4.19188472336646	0.970360772870481	0.00805353666655734	0.622420650359824	
200	-2100.12302386081	-2095.98789313951	-4.13513072129326	0.913604134088382	0.0243351850658657	0.603043416686721	
300	-2029.31458998504	-2025.19457286097	-4.12001712406746	0.898493430716917	0.00366474618203916	0.593436275192554	
400	-2008.25502865465	-2004.15087342057	-4.10415523407183	0.882629829263314	0.0188605927629394	0.589488304744357	
500	-1721.71806660505	-1717.71974362947	-3.99832297557585	0.776797855440527	0.0172854656120765	0.542979102328709	
600	-1611.35206604078	-1607.39743616282	-3.95462987795952	0.733103720759973	0.0224988925503564	0.523252400226716	
700	-1440.48471154822	-1436.59189965803	-3.89281189018009	0.671286931140348	0.0163269165437666	0.491541544027045	
800	-1218.10171005013	-1214.2881797964	-3.81353025373235	0.592006626660004	0.000418002554215702	0.446847117449357	
900	-1063.97890875868	-1060.22705598114	-3.75185277754274	0.530329034812748	0.00482765517663192	0.412284754756541	
1000	-845.951889800024	-842.293345873398	-3.65854392662596	0.437016064925118	0.0291049896972252	0.357862039651247	
1100	-502.995923555041	-499.478841360678	-3.51708219436247	0.295553848352282	0.0307239693589507	0.259033135315254	
1200	-111.792641463049	-108.483348237468	-3.309293225581	0.0877686558011909	0.0137374021345751	0.0845401719402326	
1300	-99.4994872912497	-96.2174130419435	-3.28207424930613	0.0605506036523719	0.00197256356477726	0.0588057980257594	
1400	-99.3246663321827	-96.0417056757675	-3.28296065641525	0.0614370300248255	0.000195808080024895	0.0595930602742536	
1500	-100.072745286759	-96.7925396664498	-3.28020562030954	0.0586817056499411	0.00759553655516343	0.0571878119505737	
1600	-101.314461759891	-98.0388996139484	-3.27556214594268	0.0540385182853778	0.000540107116103306	0.05261715162977	
1700	-103.291036153828	-100.002333570283	-3.28870258354501	0.0671632072143246	0.0561250959290193	0.0666274709155174	
1800	-101.00353948305	-97.7217643589259	-3.28177512412441	0.0602469742577512	0.0300787896849213	0.0592667354705866	
1900	-101.00353948305	-97.7217643589259	-3.28177512412441	0.0602469742577512	0.0300787896849213	0.0592667354705866	
2000	-100.13355728022	-96.8437113888318	-3.28984589138783	0.0683221826609214	0.0040627131471408	0.066160357488485	
2100	-99.939236385277	-96.6504454848233	-3.28879090045374	0.0672671723365773	0.00451482979115125	0.0651859503711287	
2200	-102.685160210055	-99.390276356214	-3.29488385384072	0.0733588638436039	0.0165154375834394	0.0712563314287342	
2300	-105.328203510289	-102.053427717453	-3.27477579283617	0.0532165273930867	0.0844265886582437	0.0538720731495645	
2400	-99.9454136758423	-96.6643300691289	-3.28108360671338	0.0595596481859673	0.00815265229903128	0.0580326294555	
2500	-100.78450623567	-97.5025253856968	-3.28198084997282	0.0604537651594718	0.0263006259687248	0.0593620946040522	
2600	-100.944822009986	-97.6661874966344	-3.27863451335146	0.0571092458255578	0.0181180969346318	0.0559640412695382	
2700	-101.479825642275	-98.203589112517	-3.27623652975755	0.054712209617718	0.0117808413691815	0.0535256456355106	
2800	-100.683891429115	-97.4037031796325	-3.28018824948222	0.0586626426689316	0.019902836810797	0.0574881047385239	
2900	-100.95436821559	-97.6711906101738	-3.28317760541623	0.0616493634507049	0.0303834389196714	0.060612017590893	
3000	-103.750777358522	-100.473414715732	-3.27736264278972	0.0558152336347837	0.068968045082874	0.0560222071761715	
3100	-100.235175733006	-96.9527488816175	-3.28242685138871	0.0609018383547653	0.016654340154492	0.0595283342561251	
3200	-105.311016300864	-102.025110561687	-3.28590573917716	0.0643358805868764	0.0961586101911967	0.0651112249577463	
3300	-100.447639479709	-97.1690318934045	-3.27860758630499	0.057083693044259	0.00730837888549957	0.055667476577634	
3400	-100.985177784026	-97.6918269348916	-3.29335084913416	0.0718272143416096	0.00131101696751951	0.0693487818292756	
3500	-100.786648157648	-97.4941659152591	-3.29248224238914	0.0709585784003127	0.00274918582290345	0.06858350033371	
3600	-99.9956531251973	-96.7157109183963	-3.27994220680106	0.0584184621553857	0.00486717491876265	0.0568689196888781	
3700	-101.813651717994	-98.5385986915702	-3.2750530264233	0.0535291730146844	0.00674106669612162	0.05228007921304	
3800	-101.432930076281	-98.1454028571093	-3.28752721917191	0.0659984809253354	0.0319751398870728	0.0647932378126051	
3900	-101.899079527106	-98.6106090093402	-3.2884705177659	0.066940351249649	0.0361671606078737	0.0658118846535438	
4000	-99.7195138910631	-96.4364606612577	-3.28305322980536	0.0615293030347664	0.00775334602221911	0.0598824054133145	
4100	-100.118272272968	-96.8306276394173	-3.28764463355086	0.066120446268468	0.0105932400329031	0.0642859752104103	
4200	-99.891524025263	-96.6067525562457	-3.28477146901725	0.0632472075521935	0.0112717908108599	0.0615991164889497	
