it	post	likelihood	prior	r0	a	p	
0	-3245.53283602461	-3241.32489985633	-4.207936168287	0.982669052481651	0.865273321745917	0.750989362293714	
100	-1646.23785043358	-1642.10693568069	-4.13091475289029	0.909390245014801	0.0132791322888807	0.599428083496061	
200	-1449.21021870808	-1445.1935195955	-4.01669911257347	0.795156749943271	0.0612150822533293	0.55847232348862	
300	-1212.44920875612	-1208.54681908106	-3.90238967505934	0.680842926362529	0.0680036735720934	0.5045040545486	
400	-1015.34988049859	-1011.53117291382	-3.81870758476124	0.597178367823362	0.0334387175505979	0.454633927565141	
500	-776.273759318889	-772.578412201303	-3.6953471175863	0.473810041798278	0.05186441806145	0.384377942969604	
600	-442.214244281065	-438.696508127079	-3.51773615398583	0.29618192079477	0.0782393664820121	0.264346152262602	
700	-122.89145353374	-119.598313793064	-3.29313974067599	0.0715363091882314	0.12633708009962	0.0730682974722733	
800	-121.58130316352	-118.291822604972	-3.28948055854836	0.0679394331295039	0.05915947961621	0.0674264225612463	
900	-120.399308532411	-117.119623866776	-3.27968466563411	0.0579313560761508	0.21432842053473	0.06214623584587	
1000	-121.477459275012	-118.188541473391	-3.28891780162095	0.0673536022007462	0.090081320470199	0.0678074517064097	
1100	-120.898960991361	-117.619127442825	-3.27983354853635	0.0577377149462696	0.338292001490481	0.0658959116828268	
1200	-121.378130828503	-118.105734768536	-3.27239605996785	0.0496432985365386	0.495809486112557	0.0619079393751689	
1300	-121.309560627328	-118.036720033046	-3.27284059428256	0.0501368253678079	0.485827688802965	0.0621623779566356	
1400	-120.433088627591	-117.152655686097	-3.28043294149339	0.0587087477929886	0.200283549842425	0.0625268332904443	
1500	-122.699924556276	-119.422363554854	-3.27756100142202	0.0547357085626568	0.510228705708869	0.0685627910957479	
1600	-120.723412231284	-117.450243523108	-3.27316870817601	0.0512063324358309	0.296226110076532	0.0574259678639012	
1700	-121.017874503099	-117.734842133413	-3.28303236968679	0.0614854036085302	0.0683225871063766	0.0614756976924567	
1800	-120.376962029296	-117.097926802383	-3.27903522691273	0.0572030517179514	0.248414571257308	0.062422360295459	
1900	-121.832514353471	-118.542647195147	-3.28986715832383	0.0682604429684574	0.128910167678259	0.0699258712561854	
2000	-120.615624395782	-117.342326920083	-3.27329747569884	0.0512096081394697	0.335928968875669	0.058603686647204	
2100	-120.452104280146	-117.176925251403	-3.27517902874236	0.0532149009034033	0.296816994203255	0.0596263201530629	
2200	-120.724350573335	-117.440376372606	-3.28397420072911	0.0623138532321896	0.165360997943207	0.0651402206978286	
2300	-121.502039221669	-118.218051781729	-3.28398743993986	0.0624631597567345	0.0114366464549669	0.0608570416221176	
2400	-120.400592461493	-117.120761183419	-3.2798312780731	0.0580373590067024	0.232504996797069	0.0628102877568918	
2500	-120.992468890296	-117.707665044957	-3.28480384533976	0.0632524187024678	0.0745659956941385	0.063364329465019	
2600	-121.641078514421	-118.369102825301	-3.27197568912053	0.0502180618606503	0.216333567048423	0.0541556281130421	
2700	-120.384367232115	-117.105440139098	-3.27892709301727	0.0570670124515886	0.25940484458115	0.0626179251807179	
2800	-120.555619757278	-117.27379225125	-3.28182750602776	0.0600552673451598	0.222985418303869	0.0646200653699616	
2900	-121.240680354418	-117.960780076307	-3.27990027811048	0.0583494123350824	0.0738099948270251	0.0585796285177137	
3000	-121.228760160701	-117.955615838866	-3.27314432183557	0.0513803189061577	0.219260908826254	0.0554524844652177	
3100	-120.59381129852	-117.315896936736	-3.2779143617842	0.0562290515843774	0.179824359365739	0.0593805335356758	
3200	-122.856719960004	-119.591061960299	-3.26565799970441	0.0422435256466265	0.614954934781417	0.0566256956031028	
3300	-121.370442314255	-118.096607295222	-3.27383501903298	0.0521410543192174	0.184574383404106	0.0553119111674403	
3400	-120.959769205765	-117.685326663699	-3.27444254206515	0.0519775900058444	0.43389534696471	0.0625869166337272	
3500	-121.688606546119	-118.403002483079	-3.28560406303984	0.0637261545285578	0.266188772325403	0.0698939233544821	
3600	-120.828382573409	-117.556637432535	-3.27174514087418	0.0494696676451708	0.387774942535907	0.0582210351149157	
3700	-121.252590397827	-117.965054440396	-3.28753595743108	0.0659868703130628	0.0713595393812286	0.0659153233761304	
3800	-120.707684843557	-117.429837114861	-3.27784772869595	0.0556932092923667	0.355216329824179	0.0641970623126334	
3900	-120.795207657402	-117.516721547958	-3.27848610944351	0.0568629101291295	0.141119180596434	0.0589375990791472	
4000	-121.286566563585	-118.007613674039	-3.27895288954667	0.0566541985608634	0.39371684929356	0.0665859562576242	
4100	-123.382501048158	-120.110395778785	-3.272105269373	0.0505354228150096	0.0961460964055737	0.0514639107930199	
4200	-121.647780771608	-118.374481767627	-3.27329900398138	0.0504656122159209	0.511813553306274	0.0634537838616983	
4300	-121.301163976558	-118.031036591173	-3.27012738538561	0.0480361989326771	0.33691549510695	0.0551048792501027	
4400	-121.239261311116	-117.960109886871	-3.27915142424486	0.0575920363236215	0.0845715348375966	0.0581263824024791	
4500	-120.548795423894	-117.271526037242	-3.27726938665227	0.0551679705269631	0.339938208088278	0.0631135352266955	
4600	-121.087576535004	-117.800933010484	-3.28664352452028	0.0650409071054306	0.125691062631086	0.0666411513220103	
4700	-120.854318880837	-117.581828654051	-3.27249022678599	0.0500721375364806	0.422956983814948	0.0600149554882607	
4800	-121.23372361756	-117.963190949027	-3.27053266853317	0.0478865743987258	0.47380754230544	0.0590732200422753	
4900	-120.68701004979	-117.409047078767	-3.27796297102298	0.0558259517233815	0.350255078729242	0.0641804917259143	
5000	-120.45788619934	-117.179138999467	-3.27874719987276	0.0570334476511922	0.1950005245395	0.0606438378760669	
5100	-120.768101193451	-117.495649712	-3.27245148145112	0.0501339413411912	0.398475572955794	0.0593116927559436	
5200	-121.111271940886	-117.835349556334	-3.27592238455205	0.0542762230895456	0.15654728601221	0.0567459960845099	
5300	-121.562151383461	-118.289267318209	-3.27288406525225	0.0511707805283365	0.194760635239072	0.054578838984691	
5400	-121.121907653501	-117.839518401103	-3.28238925239756	0.0604145492799578	0.300358758447692	0.0675296023099492	
5500	-120.850652189243	-117.573187552821	-3.27746463642131	0.0558250239770857	0.152306431578473	0.0581999334746458	
5600	-120.629558872811	-117.350585445016	-3.27897342779437	0.0569323349650947	0.321703786286526	0.0644600517784848	
5700	-120.403815257796	-117.127807223544	-3.27600803425219	0.0540321195870636	0.300761854765006	0.0606337718067363	
5800	-120.724084175039	-117.440077484451	-3.28400669058833	0.0623593155760316	0.157320573087781	0.0649388684441829	
5900	-120.387889122919	-117.111404978415	-3.27648414450379	0.0545245266612617	0.295293631427921	0.0610001508391182	
6000	-120.591763138344	-117.318118583032	-3.27364455531246	0.0516188578680155	0.316882074507884	0.0584846121430354	
6100	-120.923584194403	-117.647642342856	-3.27594185154716	0.0542631502170113	0.176110835233703	0.0572637689243888	
6200	-120.968313367026	-117.68515990577	-3.28315346125568	0.0616019872203467	0.074629533849657	0.0617649884395755	
6300	-120.622878632382	-117.347468351459	-3.27541028092319	0.0531796068418769	0.376044646976515	0.0620611759888828	
6400	-120.402013582967	-117.124623905823	-3.27738967714349	0.0555867608729748	0.236343001504428	0.0603543487255541	
6500	-120.671054818084	-117.397091652197	-3.27396316588705	0.0520666558761148	0.273087462992408	0.0576865561598992	
6600	-121.378127136188	-118.089720168862	-3.2884069673257	0.0668528233654795	0.0781252347165715	0.0669555903217414	
6700	-120.968593660504	-117.682767960447	-3.28582570005702	0.0642023328877984	0.141238075960427	0.0662896785179693	
6800	-120.588463868116	-117.31098062093	-3.27748324718641	0.0557813810929654	0.188806723779999	0.0591765249116565	
6900	-121.770835950861	-118.502757296292	-3.26807865456976	0.0458091413509098	0.386234907829202	0.0539921203803812	
7000	-120.907415885919	-117.622145785991	-3.28527009992822	0.063618915332481	0.159723759675398	0.0662809958674009	
7100	-121.273417086842	-118.001481912498	-3.27193517434354	0.0492286923062054	0.486385821877047	0.061092189001251	
7200	-121.390675356077	-118.107106860335	-3.28356849574184	0.0616079238336531	0.295616545365193	0.0686519150882788	
7300	-120.618406609491	-117.344887822111	-3.27351878737925	0.0513125220779327	0.369496712461115	0.059746797591705	
7400	-120.717728081575	-117.433790970194	-3.28393711138115	0.0622815442271528	0.162444424512796	0.0650177699639909	
7500	-120.653404959912	-117.374273476793	-3.27913148311903	0.0574935520905998	0.151198432338425	0.0598546829263382	
7600	-120.536327368372	-117.260457517124	-3.27586985124858	0.0537175567727533	0.354589418089017	0.0619740161365361	
7700	-120.53984905523	-117.257760796246	-3.2820882589842	0.0603709338419136	0.196824258449487	0.0641315807654586	
7800	-123.664277831963	-120.370821957022	-3.29345587494051	0.071769364001229	0.180490853264928	0.0751795558724685	
7900	-122.862467314479	-119.595005569419	-3.26746174506023	0.0439035656582561	0.637895477842539	0.0595619893724161	
8000	-120.583603326157	-117.308813902941	-3.2747894232153	0.0525780275184658	0.370882595470175	0.061216921779295	
8100	-123.172331972049	-119.90783061179	-3.26450136025887	0.0410718845576044	0.617389585683123	0.0551808126286532	
8200	-123.023730073306	-119.749784687467	-3.27394538583964	0.0523979052621868	0.0690715263132	0.0526516580292256	
8300	-121.903916243518	-118.636588816178	-3.26732742734005	0.0448908571153876	0.427304113237188	0.0541091180133854	
8400	-121.610033875714	-118.329350139654	-3.28068373605963	0.0591546464804557	0.0330556514207281	0.0582844335518173	
8500	-120.551808465825	-117.26962115413	-3.28218731169551	0.0604656151495871	0.199032835080288	0.0642971143466691	
8600	-121.25568307881	-117.984766366825	-3.27091671198511	0.0482317166309801	0.481947954744101	0.0597499066603401	
8700	-121.029208131975	-117.75492057828	-3.27428755369488	0.0517805456835774	0.443482088157907	0.0626783728236115	
8800	-120.75819667663	-117.485113916951	-3.27308275967902	0.0507326925080267	0.406556508317589	0.0602541922759858	
8900	-120.703181116201	-117.428126140987	-3.27505497521307	0.0527594056073574	0.392923251283355	0.0621334300091042	
9000	-121.239757214159	-117.954042921061	-3.28571429309792	0.0641830583754924	0.0390090340981262	0.0632466889088567	
9100	-120.801463521973	-117.523616766124	-3.27784675584935	0.0556487818621096	0.367245909036137	0.0645481459872712	
9200	-120.840790209848	-117.568746888551	-3.27204332129639	0.0499826864618805	0.327722027269193	0.0570009505758166	
9300	-121.210039115184	-117.931112003846	-3.2789271113375	0.0573624375835058	0.0906063521746552	0.0580617973467961	
9400	-122.589898738627	-119.321143485203	-3.26875525342404	0.045330921495333	0.616555874189361	0.0606802870540996	
9500	-120.827102656849	-117.546027542524	-3.28107511432522	0.059101369688287	0.300039476808161	0.0661018842703299	
9600	-120.669194569162	-117.388211819065	-3.28098275009749	0.0590701771341261	0.278907427168451	0.0653723243955108	
9700	-121.828199755007	-118.560195773175	-3.26800398183195	0.0451038514822718	0.524691176018677	0.0573287880537344	
9800	-120.423765311669	-117.147534653928	-3.27623065774148	0.054367288285866	0.260669621126726	0.059784985691495	
9900	-120.956072993144	-117.676755518374	-3.27931747476914	0.0571614810638127	0.355631130980327	0.0658448866317679	
10000	-121.170815302171	-117.887169244232	-3.28364605793905	0.0617549889907238	0.271087716287003	0.0679731863540907	
10100	-122.162998427657	-118.896607455384	-3.2663909722732	0.0436470435652879	0.49402479880955	0.0545975268320176	
10200	-120.591333037126	-117.309920475142	-3.28141256198391	0.0597842383105305	0.144704854558221	0.0619736756173667	
10300	-121.053922978231	-117.76761189537	-3.28631108286061	0.0647449494060126	0.0922033143462625	0.0653323806951814	
10400	-120.742129435882	-117.461787770127	-3.28034166575519	0.0587414228077975	0.123787518497557	0.0603330665250197	
10500	-120.40223536517	-117.125315711251	-3.27691965391844	0.054930184446275	0.305235408642328	0.0617486432979638	
10600	-121.486260181009	-118.215668836291	-3.27059134471864	0.0477585144247857	0.511703839176336	0.0601575833356117	
10700	-121.370710754896	-118.084870219467	-3.28584053542827	0.0640614086575804	0.226053344132377	0.0688797561858897	
10800	-125.000121910265	-121.702473485719	-3.29764842454584	0.0760331667121497	0.135374764981678	0.0778025274186331	
10900	-120.517935031811	-117.240471228785	-3.27746380302628	0.0557350685074922	0.202538055717015	0.0595216716512816	
11000	-120.412099211626	-117.133430604527	-3.27866860709891	0.0569234224036333	0.210503442515618	0.060985746162614	
11100	-120.730981986625	-117.456190384009	-3.27479160261602	0.0529974818602202	0.232591726887039	0.0575206206723822	
11200	-120.82925130647	-117.546297723399	-3.28295358307119	0.0611275192815808	0.24594210330397	0.0664761980033057	
11300	-121.006226638618	-117.729323757331	-3.27690288128632	0.0552724979165939	0.14612129961606	0.0574728326984053	
11400	-121.086214270833	-117.804907818809	-3.28130645202376	0.0597566084749994	0.072411808487958	0.0599110435013113	
11500	-120.87868649054	-117.599939422311	-3.27874706822901	0.0565791303385046	0.358974007912913	0.0653097408669961	
11600	-123.93086725576	-120.666518730059	-3.26434852570047	0.0403672207053748	0.701096112723463	0.0569920563701917	
11700	-121.838903975362	-118.553201475226	-3.28570250013599	0.063797263652086	0.27626446937211	0.0703192569373432	
11800	-121.175666815224	-117.889403635589	-3.28626317963518	0.0647243238985536	0.0551897416356937	0.064225935466663	
11900	-120.630399482232	-117.347267086943	-3.28313239528853	0.0614709071256218	0.166049368679522	0.06430916696232	
12000	-120.787114699802	-117.502959159753	-3.28415554004855	0.0625630417186764	0.117364501580595	0.0639384173218009	
12100	-121.293856949567	-118.017858535174	-3.27599841439355	0.0543798645865169	0.13778505602386	0.0563499539184793	
12200	-121.102606172098	-117.816653300406	-3.28595287169254	0.0644074798654762	0.0659782211761909	0.0642331650579446	
12300	-121.609579545721	-118.334912621191	-3.27466692452937	0.051934614377096	0.491667357785628	0.0645190724942165	
12400	-122.26488087033	-118.982136457513	-3.28274441281688	0.0605006917193529	0.379498326429165	0.0704132424574348	
12500	-120.398092632899	-117.118267917902	-3.27982471499719	0.0580492342635986	0.224434638535605	0.0625755502261727	
12600	-120.585740341269	-117.304894261675	-3.28084607959369	0.059214174384251	0.147159104864112	0.0614722708687261	
12700	-122.109710650493	-118.817721450509	-3.29198919998367	0.0704582006856796	0.0384007793385545	0.069192629687608	
